Data;Ostatnio;Otwarcie;Max.;Min.;Zmiana%;;;;;;;
03.06.2020;1,1232;1,1172;1,1257;1,1166;0,56%;;;;;;;
02.06.2020;1,1169;1,1137;1,1197;1,1114;0,31%;;;;;;;
01.06.2020;1,1134;1,1097;1,1155;1,1095;0,32%;;;;;;;
29.05.2020;1,1098;1,1078;1,1146;1,107;0,20%;;;;;;;
28.05.2020;1,1076;1,1005;1,1094;1,0991;0,66%;;;;;;;
27.05.2020;1,1003;1,0983;1,1032;1,0934;0,21%;;;;;;;
26.05.2020;1,098;1,0899;1,0997;1,0891;0,74%;;;;;;;
25.05.2020;1,0899;1,0903;1,0915;1,087;-0,01%;;;;;;;
22.05.2020;1,09;1,0949;1,0961;1,0885;-0,45%;;;;;;;
21.05.2020;1,0949;1,0979;1,101;1,0936;-0,26%;;;;;;;
20.05.2020;1,0977;1,0928;1,1;1,0918;0,51%;;;;;;;
19.05.2020;1,0921;1,0913;1,0977;1,0901;0,08%;;;;;;;
18.05.2020;1,0912;1,0816;1,0927;1,0799;0,90%;;;;;;;
15.05.2020;1,0815;1,0805;1,0851;1,0789;0,10%;;;;;;;
14.05.2020;1,0804;1,0819;1,0826;1,0775;-0,11%;;;;;;;
13.05.2020;1,0816;1,0848;1,0897;1,0811;-0,28%;;;;;;;
12.05.2020;1,0846;1,0807;1,0885;1,0784;0,37%;;;;;;;
11.05.2020;1,0806;1,0838;1,0851;1,08;-0,31%;;;;;;;
08.05.2020;1,084;1,0833;1,0876;1,0814;0,07%;;;;;;;
